year,section,org,kind,ref,norma,title,summary
2020,Urbanismo,Dirección General De Fiscalización Y Control De Obras,Ley,6387,Ley N? 6387,"Promoción, planificación y desarrollo de células urbanas denominadas Supermanzanas",
2020,Urbanismo,Dirección General De Fiscalización Y Control De Obras,Decreto,194,Decreto N? 194,Se aprueba la reglamentación de la Ley N° 6129 de reurbanización del Barrio Padre Carlos Mugica,
2021,Catastro,Secretaria De Atención Ciudadana Y Gestión Comunal,Ley,6437,Ley N? 6437,Catastro de la Ciudad Autónoma de Buenos (sic),
2021,Catastro,Secretaria De Atención Ciudadana Y Gestión Comunal,Decreto,413,Decreto N? 413,Se designa como Autoridad de Aplicación de la Ley N° 6437 a la Dirección General de Registro de Obras y Catastro,
2021,Código De Edificación,Secretaria De Atención Ciudadana Y Gestión Comunal,Ley,6438,Ley N? 6438,Se modifica el Anexo A del Código de Edificación de la Ordenanza N° 34421 – Texto Consolidado por Ley N° 6347,
2021,Código De Edificación,Secretaria De Atención Ciudadana Y Gestión Comunal,Ley,6478,Ley N? 6478,Se crea el Régimen Especial de Regularización de Construcciones y Obras,
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Decreto,69,Decreto N? 69,Se aprueba el texto ordenado del Código Fiscal,
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Ley,6450,Ley N? 6450,Se modifica el el Anexo I del Código Fiscal (t.o. según Decreto N° 69/21),
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Ley,6505,Ley N? 6505,Se aprueba el Código Fiscal,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6411,Ley N? 6411,"Se aprueba el Convenio Urbanístico celebrado entre el Gobierno de la Ciudad Autónoma de Buenos Aires, Profidu S.A., Mitre Construcciones S.A. y Pedro Lionel Marsiglia",
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6417,Ley N? 6417,"Se afecta el polígono delimitado por las calles José Martí, Echeandia, y Portela al Área Urbanización Parque (UP) y se denomina Plazoleta Antonio Maceo al nuevo espacio verde",
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6441,Ley N? 6441,"Se desafectan y reafectan las parcelas 12, 13, 14, 15, 16, 17, 34, 56 de la Manzana 137A, Sección 38 de la Circunscripción 1 al EE - 91 Estadio del Club Atlético San Lorenzo de Almagro y se aprueba el Convenio celebrado con el Club Atlético San Lorenzo de Almagro",
